player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
10,Miroslav,Klose,Miroslav Klose,2015,398,miroslav-klose,Poland,Opole,Germany,1978-06-09,Centre-Forward,Attack,right,184,,ASBW Sport Marketing,https://img.a.transfermarkt.technology/portrait/header/10-1448468291.jpg?lm=1,https://www.transfermarkt.co.uk/miroslav-klose/profil/spieler/10,IT1,SocietÃ  Sportiva Lazio S.p.A.,1000000,30000000
26,Roman,Weidenfeller,Roman Weidenfeller,2017,16,roman-weidenfeller,Germany,Diez,Germany,1980-08-06,Goalkeeper,Goalkeeper,left,190,,Neubauer 13 GmbH,https://img.a.transfermarkt.technology/portrait/header/26-1502448725.jpg?lm=1,https://www.transfermarkt.co.uk/roman-weidenfeller/profil/spieler/26,L1,Borussia Dortmund,750000,8000000
65,Dimitar,Berbatov,Dimitar Berbatov,2015,1091,dimitar-berbatov,Bulgaria,Blagoevgrad,Bulgaria,1981-01-30,Centre-Forward,Attack,,,,CSKA-AS-23 Ltd.,https://img.a.transfermarkt.technology/portrait/header/65-1683670068.jpg?lm=1,https://www.transfermarkt.co.uk/dimitar-berbatov/profil/spieler/65,GR1,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,1000000,34500000
77,,LÃºcio,LÃºcio,2012,506,lucio,Brazil,BrasÃ­lia,Brazil,1978-05-08,Centre-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/77-1458201664.jpg?lm=1,https://www.transfermarkt.co.uk/lucio/profil/spieler/77,IT1,Juventus Football Club,200000,24500000
80,Tom,Starke,Tom Starke,2017,27,tom-starke,East Germany (GDR),Freital,Germany,1981-03-18,Goalkeeper,Goalkeeper,right,194,,IFM,https://img.a.transfermarkt.technology/portrait/header/80-1471439914.JPG?lm=1,https://www.transfermarkt.co.uk/tom-starke/profil/spieler/80,L1,FC Bayern MÃ¼nchen,100000,3000000
109,,DedÃª,DedÃª,2013,825,dede,Brazil,Belo Horizonte,Brazil,1978-04-18,Left-Back,Defender,,,,Football Concept,https://img.a.transfermarkt.technology/portrait/header/109-1487263703.jpg?lm=1,https://www.transfermarkt.co.uk/dede/profil/spieler/109,TR1,Eskisehirspor,400000,9500000
123,Christoph,Metzelder,Christoph Metzelder,2012,33,christoph-metzelder,Germany,Haltern,Germany,1980-11-05,Centre-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/s_123_33_2012_1.jpg?lm=1,https://www.transfermarkt.co.uk/christoph-metzelder/profil/spieler/123,L1,FC Schalke 04,1500000,9500000
132,Tomas,Rosicky,Tomas Rosicky,2015,11,tomas-rosicky,CSSR,Praha,Czech Republic,1980-10-04,Attacking Midfield,Midfield,both,179,,,https://img.a.transfermarkt.technology/portrait/header/132-1464947592.jpg?lm=1,https://www.transfermarkt.co.uk/tomas-rosicky/profil/spieler/132,GB1,Arsenal Football Club,350000,17500000
162,Marc,Ziegler,Marc Ziegler,2012,79,marc-ziegler,Germany,Blieskastel,Germany,1976-06-13,Goalkeeper,Goalkeeper,right,193,,,https://img.a.transfermarkt.technology/portrait/header/s_162_79_2012_1.jpg?lm=1,https://www.transfermarkt.co.uk/marc-ziegler/profil/spieler/162,L1,Verein fÃ¼r Bewegungsspiele Stuttgart 1893,200000,1250000
215,Roque,Santa Cruz,Roque Santa Cruz,2015,1084,roque-santa-cruz,Paraguay,AsunciÃ³n,Paraguay,1981-08-16,Centre-Forward,Attack,right,193,2023-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/215-1564992591.png?lm=1,https://www.transfermarkt.co.uk/roque-santa-cruz/profil/spieler/215,ES1,MÃ¡laga CF,250000,12000000
258,Gerald,Asamoah,Gerald Asamoah,2013,33,gerald-asamoah,Ghana,Mampong,Germany,1978-10-03,Centre-Forward,Attack,right,180,,,https://img.a.transfermarkt.technology/portrait/header/258-1590420180.jpg?lm=1,https://www.transfermarkt.co.uk/gerald-asamoah/profil/spieler/258,L1,FC Schalke 04,100000,7000000
264,TamÃ¡s,Hajnal,TamÃ¡s Hajnal,2012,79,tamas-hajnal,Hungary,Esztergom,Hungary,1981-03-15,Attacking Midfield,Midfield,both,167,,,https://img.a.transfermarkt.technology/portrait/header/s_264_79_2012_2.jpg?lm=1,https://www.transfermarkt.co.uk/tamas-hajnal/profil/spieler/264,L1,Verein fÃ¼r Bewegungsspiele Stuttgart 1893,100000,6500000
276,Sladan,Peric,Sladan Peric,2013,20100,sladan-peric,,,Denmark,1982-04-15,Centre-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/276-1637687071.jpg?lm=1,https://www.transfermarkt.co.uk/sladan-peric/profil/spieler/276,DK1,FC Vestsjaelland,200000,500000
277,SÃ©rgio,da Silva Pinto,SÃ©rgio da Silva Pinto,2013,3368,sergio-da-silva-pinto,Portugal,Vila Nova de Gaia,Germany,1980-10-16,Central Midfield,Midfield,right,176,,,https://img.a.transfermarkt.technology/portrait/header/277-1438158926.jpg?lm=1,https://www.transfermarkt.co.uk/sergio-da-silva-pinto/profil/spieler/277,ES1,Levante UD,150000,3500000
299,Fabian,Ernst,Fabian Ernst,2012,10484,fabian-ernst,Germany,Hannover,Germany,,Defensive Midfield,Midfield,right,183,,,https://img.a.transfermarkt.technology/portrait/header/s_299_123_2014_01_10_2.jpg?lm=1,https://www.transfermarkt.co.uk/fabian-ernst/profil/spieler/299,TR1,KasÄ±mpaÅŸa Spor KulÃ¼bÃ¼,1500000,9000000
325,Tomas,Ujfalusi,Tomas Ujfalusi,2012,141,tomas-ujfalusi,CSSR,RÃ½maÅ™ov,Czech Republic,1978-03-24,Centre-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/s_325_141_2012_11_19_1.jpg?lm=1,https://www.transfermarkt.co.uk/tomas-ujfalusi/profil/spieler/325,TR1,Galatasaray Spor KulÃ¼bÃ¼,300000,12000000
332,Benjamin,KÃ¶hler,Benjamin KÃ¶hler,2012,24,benjamin-kohler,Germany,Berlin,Germany,1980-08-04,Left Midfield,Midfield,,,,,https://img.a.transfermarkt.technology/portrait/header/332-1470298381.jpg?lm=1,https://www.transfermarkt.co.uk/benjamin-kohler/profil/spieler/332,L1,Eintracht Frankfurt FuÃŸball AG,150000,2500000
